行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價,申報地價,核定申報地價情形
中正區,福和段二小段,02430000,4196.0,0007,,300,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0075,,3521850,2098,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0075,,3521850,2098,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0075,,3521850,2098,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800003,1197.0,0073,,3521850,2098,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0075,,3521850,2098,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0075,,126786600,80773,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0075,,3521850,2098,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0047,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0049,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0049,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0063,,984375,2254,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0018,,72,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0062,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0060,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0060,,24,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0058,,189,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0016,,420,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0015,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0015,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0032,,252,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0035,,252,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0035,,252,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0033,,252,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0036,,182700,2053,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0036,,182700,2053,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0011,,984375,21625,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0011,,6300000,100019,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0011,,6300000,100019,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0056,,2646,17,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0057,,2646,17,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0057,,2646,17,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0006,,18,1,"59,900","71,880",按公告地價120%申報
