鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物),臺北市中山區新生北路三段61~90號,5.25,商,,,1080924,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690801,45.04,1,1,1,有,有,6800000,150977,,0.0,0,,RPROMLLMKIOFFCA77CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段71巷12弄1~30號,11.42,住,,,1080926,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980810,50.53,1,1,1,有,有,13300000,263210,,0.0,0,含增建或未登記建物。;,RPPNMLMKJIOFFDA37CA
松山區,房地(土地+建物),臺北市松山區南京東路五段286巷1~30號,14.43,住,,,1081006,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650609,61.92,2,2,1,有,有,13000000,209948,,0.0,0,含增建或未登記建物。;,RPQNMLMKJIOFFDA47CA
信義區,房地(土地+建物)+車位,臺北市信義區松勤街1~30號,6.69,其他,,,1080918,土地1建物1車位1,五層,十九層,套房(1房1廳1衛),住家用,見其他登記事項,0961225,69.4,1,1,1,有,有,25800000,371758,坡道機械,17.45,0,含增建或未登記建物。;,RPSNMLMKJIOFFDA67CA
松山區,房地(土地+建物),臺北市松山區光復北路230巷1~30號,29.77,住,,,1080921,土地3建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0910514,138.06,3,2,2,有,有,26200000,189773,,0.0,0,含增建或未登記建物。;,RPTNMLMKJIOFFDA77CA
松山區,房地(土地+建物),臺北市松山區三民路74巷1~30號,27.93,住,,,1080919,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810413,118.24000000000001,3,2,2,有,有,23200000,196211,,0.0,0,,RPPOMLMKJIOFFDA47CA
信義區,房地(土地+建物),臺北市信義區虎林街56巷1~30號,31.0,住,,,1080926,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,63.09,3,1,1,有,無,10480000,166112,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLNKJIOFFDA47CA
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段743巷31弄1~30號,11.98,住,,,1081006,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070824,111.37,2,1,1,有,有,26800000,310928,坡道平面,33.86,2700000,,RPSOMLNKJIOFFDA87CA
信義區,車位,臺北市信義區吳興街600巷31~60號,6.47,住,,,1081028,土地0建物0車位1,地下二層,十五層,其他,停車空間,鋼筋混凝土造,0821201,31.52,0,0,0,有,無,2450000,,坡道平面,31.52,2450000,,RPQPMLNKJIOFFDA77CA
松山區,房地(土地+建物)+車位,臺北市松山區饒河街181~210號,10.42,商,,,1080928,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1071003,155.09,3,2,2,有,有,34660000,234374,坡道機械,14.46,1700000,,RPPNMLNLJIOFFDA57CA
松山區,房地(土地+建物)+車位,臺北市松山區饒河街181~210號,6.97,商,,,1080828,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1071003,138.25,2,2,1,有,有,27900000,250671,坡道平面,37.72,2700000,,RPPOMLNJKIOFFDA57CA
北投區,房地(土地+建物),臺北市北投區致遠二路15巷1~30號,42.0,住,,,1081031,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631128,105.97,3,2,2,有,無,21500000,202888,,0.0,0,,RPOPMLLKJIOFFEA47CA
北投區,房地(土地+建物),臺北市北投區溫泉路65巷1~30號,5.22,其他,,,1081002,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670104,56.9,2,1,1,有,有,8500000,149385,,0.0,0,含增建或未登記建物。;,RPPQMLLKJIOFFEA67CA
北投區,土地,八仙段二小段61~90地號,2246.29,農,,,1081024,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,135900000,60500,,0.0,0,含增建或未登記建物。;,RPSNMLMKJIOFFEA77CA
士林區,土地,華岡段四小段181~210地號,2602.53,其他,,,1081030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000000,19212,,0.0,0,,RPVNMLMKJIOFFEA08CA
北投區,房地(土地+建物)+車位,臺北市北投區知行路293巷1~30號,17.59,住,,,1081004,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980717,124.36,2,2,1,有,有,13000000,104535,坡道平面,47.42,0,含增建或未登記建物。;,RPXNMLMKJIOFFEA28CA
北投區,房地(土地+建物),臺北市北投區知行路331~360號,10.2,住,,,1081010,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860122,70.18,2,1,1,有,有,8400000,119692,,0.0,0,含增建或未登記建物。;,RPOOMLMKJIOFFEA47CA
士林區,房地(土地+建物),臺北市士林區中社路二段185巷2弄1~30號,94.12,住,,,1081007,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650103,102.92,4,2,2,有,無,11000000,106879,,0.0,0,,RPPOMLMKJIOFFEA57CA
北投區,房地(土地+建物),臺北市北投區幽雅路1~30號,7.88,其他,,,1081016,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980205,48.8,0,0,0,無,有,4880000,100000,,0.0,0,陽台外推本成交資訊係由不動產經紀業提供屬實,RPPNMLNKJIOFFEA57CA
士林區,房地(土地+建物),臺北市士林區德行東路301~330號,33.24,住,,,1080930,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710707,114.1,3,2,2,有,無,15500000,135846,,0.0,0,含增建或未登記建物。;,RPXNMLNKJIOFFEA38CA
士林區,土地,平等段二小段331~360地號,215.29,其他,,,1081031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,538213,2500,,0.0,0,,RPQNMLOKJIOFFEA77CA
士林區,房地(土地+建物),臺北市士林區承德路四段10巷31~60號,30.75,住,,,1081022,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,83.48,2,1,1,有,無,17800000,213225,,0.0,0,,RPWOMLNKJIOFFEA38CA
北投區,房地(土地+建物),臺北市北投區中央北路一段181~210號,115.0,商,,,1080922,土地2建物1車位0,全,一層,透天厝,住商用,磚造,0751111,107.66,2,1,3,有,無,42000000,390117,,0.0,0,頂樓增建及一、二樓法定空地蓋滿,RPTOMLMLJIOFFEA08CA
北投區,房地(土地+建物),臺北市北投區中山路1~30號,4.13,其他,,,1081009,土地1建物1車位0,一層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670404,25.5,1,0,1,有,無,2500000,98039,,0.0,0,,RPVNMLTJKIOFFEA78CA
北投區,土地,溫泉段一小段31~60地號,95.71,其他,,,1081101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,68432650,715000,,0.0,0,畸零地或有合併使用之交易。;向政府機關承購之案件。;,RPSOMLTJKIOFFEA58CA
北投區,房地(土地+建物),臺北市北投區實踐街1~30號,28.4,住,,,1080923,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651113,91.42,3,2,2,有,無,10000000,109385,,0.0,0,,RPSPMLKKKIOFFEA87CA
大安區,房地(土地+建物),臺北市大安區永康街23巷1~30號,25.38,住,,,1080731,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801024,115.37,3,2,1,有,無,31600000,273901,,0.0,0,含增建或未登記建物。;,RPQOMLLKJIOFFFA67CA
大安區,房地(土地+建物),臺北市大安區仁愛路四段391~420號,20.74,其他,,,1080826,土地1建物1車位0,一層,十四層,店面(店鋪),商業用,鋼筋混凝土造,0710227,146.51999999999998,0,2,1,有,有,55000000,375375,,0.0,0,含增建或未登記建物。;,RPQNMLMKJIOFFFA67CA
大安區,房地(土地+建物),臺北市大安區仁愛路三段123巷11弄1~30號,50.0,住,,,1080731,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,,138.81,4,2,2,有,無,34500000,248541,,0.0,0,含增建或未登記建物。;,RPUNMLMKJIOFFFA08CA
大安區,車位,臺北市大安區大安路二段3巷31~60號,0.1,住,,,1081031,土地0建物0車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,1061228,32.09,0,0,0,有,有,3100000,,坡道平面,32.07,3100000,,RPVNMLNKJIOFFFA28CA
大安區,房地(土地+建物),臺北市大安區信義路三段91~120號,3.31,商,,,1081016,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960322,38.94,0,0,0,無,有,14000000,359527,,0.0,0,,RPPOMLOKJIOFFFA87CA
大安區,房地(土地+建物),臺北市大安區富陽街151~180號,11.75,住,,,1081005,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940506,54.38,1,1,1,有,有,12880000,236852,,0.0,0,,RPVOMLSKJIOFFFA88CA
大安區,房地(土地+建物),臺北市大安區敦化南路一段181~210號,8.2,其他,,,1081008,土地2建物1車位0,十三層,十四層,辦公商業大樓,住家用,鋼筋混凝土造,,91.09,0,0,0,無,有,24000000,263476,,0.0,0,營業稅由買方負擔,RPTOMLTKJIOFFFA78CA
大安區,房地(土地+建物),臺北市大安區通化街39巷49弄1~30號,31.5,住,,,1081010,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0871001,61.78,0,0,0,無,無,14700000,237941,,0.0,0,,RPQNMLRLJIOFFFA28CA
大安區,房地(土地+建物),臺北市大安區延吉街70巷2弄1~30號,24.0,住,,,1081004,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601208,80.57,3,2,1,有,無,15700000,194862,,0.0,0,,RPPOMLRLJIOFFFA28CA
文山區,房地(土地+建物),臺北市文山區福興路78巷20弄61~90號,36.33,住,,,1080911,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781114,109.0,3,2,2,有,有,12800000,117431,,0.0,0,,RPTNMLOKJIOFFAA77DA
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段364巷1~30號,53.48,住,,,1030314,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,206.69,4,2,2,有,有,13000000,62896,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLSLJIOFFBA78DA
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路162巷61~90號,47.09,住,,,1081009,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890628,155.26999999999998,3,2,2,有,無,24100000,155213,坡道平面,0.0,0,,RPPNMLMKJIOFFCA37DA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段123巷34弄1~30號,20.98,商,,,1080720,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040724,224.1,2,2,2,有,有,38800000,190192,坡道平面,33.24,2500000,,RPWQMLPKJIOFFCA68DA
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖山莊街176巷1~30號,22.28,住,,,1080823,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,118.89,2,2,1,有,有,20800000,193058,坡道平面,24.09,2500000,含增建或未登記建物。,RPVQMLKLJIOFFCA18DA
南港區,房地(土地+建物),臺北市南港區研究院路二段70巷47弄1~30號,26.78,住,,,1080903,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.53,4,2,2,有,有,20500000,157052,,0.0,0,,RPWPMLTKJIOFFDA09DA
松山區,房地(土地+建物)+車位,臺北市松山區寶清街91~120號,17.48,住,,,1080817,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061124,132.93,2,2,2,有,有,27500000,236122,坡道平面,29.17,3000000,,RPOQMLMLJIOFFDA77DA
南港區,房地(土地+建物),臺北市南港區合順街8巷5弄31~60號,21.25,住,,,1080920,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,77.0,3,1,1,有,無,3900000,50649,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLPJKIOFFDA87DA
信義區,房地(土地+建物),臺北市信義區信義路六段31~60號,25.3,住,,,1081008,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760825,131.75,3,2,2,有,無,23850000,181025,,0.0,0,含增建或未登記建物。,RPUOMLRLJIOFFDA68DA
信義區,土地,祥和段二小段61~90地號,18.0,其他,,,1081017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,820800,45600,,0.0,0,108年度臺北市政府以容積代金基金採購私有公共設施保留地之交易〈F108-1〉。,RPQQMLOKJIOFFDA08DA
