鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物),臺北市內湖區內湖路三段143巷1~30號,20.3,住,,,1081212,土地1建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,79.94,3,2,1,有,無,10080000,126095,,0.0,0,含增建或未登記建物。;,RPVNMLNKKHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區吉林路391~420號,12.82,住,,,1081219,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851017,49.28,1,1,1,有,有,10200000,206981,,0.0,0,,RPSPMLOKKHPFFCA08CA
中山區,房地(土地+建物)+車位,臺北市中山區基湖路121~150號,46.02,住,,,1090106,土地1建物1車位2,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950123,237.5,3,2,2,有,有,48000000,202105,坡道平面,78.4,0,,RPQOMLRKKHPFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路281巷1~30號,19.78,住,,,1090101,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980826,114.33,2,2,1,有,有,21500000,188052,坡道平面,14.24,0,,RPUOMLRKKHPFFCA48CA
內湖區,土地,文德段四小段61~90地號,19.0,住,,,1090120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8333875,438625,,0.0,0,,RPQQMLSKKHPFFCA38CA
內湖區,土地,文德段四小段61~90地號,19.0,住,,,1090120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8333875,438625,,0.0,0,,RPRQMLSKKHPFFCA48CA
中山區,房地(土地+建物),臺北市中山區新生北路二段91~120號,2.07,商,,,1081222,土地1建物1車位0,十二層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0760305,23.060000000000002,0,0,0,無,有,2920000,126626,,0.0,0,,RPTTMLQLKHPFFCA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷29弄1~30號,12.95,住,,,1081231,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0941123,112.57,3,2,2,有,有,13800000,122590,坡道平面,45.93,0,有夾層,RPOQMLMJLHPFFCA57CA
中山區,房地(土地+建物),臺北市中山區建國北路三段61~90號,8.41,住,,,1081220,土地2建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,84.34,0,0,0,無,有,21400000,253735,,0.0,0,,RPPNMLNJLHPFFCA47CA
中山區,房地(土地+建物)+車位,臺北市中山區八德路二段301~330號,50.89,商,,,1090108,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129,292.45,3,2,2,有,有,88500000,333618,坡道平面,35.27,2700000,,RPUOMLPJLHPFFCA28CA
中山區,房地(土地+建物)+車位,臺北市中山區植福路286巷1~30號,66.87,其他,,,1081127,土地1建物1車位3,二十四層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,593.98,0,0,0,無,有,288000000,576539,坡道平面,113.7,11100000,,RPPOMLTJLHPFFCA18CA
松山區,房地(土地+建物),臺北市松山區新東街20巷1~30號,17.1,住,,,1090109,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620608,58.64,2,2,2,有,無,13130000,223909,,0.0,0,含增建或未登記建物。;,RPRPMLLKKHPFFDA77CA
信義區,房地(土地+建物),臺北市信義區光復南路415巷91~120號,4.32,住,,,1081220,土地1建物1車位0,一層,十四層,店面(店鋪),見其他登記事項,見其他登記事項,0990806,52.72,0,0,1,有,有,21680000,411229,,0.0,0,,RPSPMLLKKHPFFDA87CA
信義區,車位,臺北市信義區光復南路541~570號,0.15,商,,,1090116,土地0建物0車位1,一層,十八層,其他,見其他登記事項,見其他登記事項,0970822,23.84,0,0,0,有,有,2700000,,坡道平面,23.83,2700000,,RPWNMLMKKHPFFDA18CA
信義區,房地(土地+建物),臺北市信義區信義路五段121~150號,7.55,其他,,,1081221,土地1建物1車位0,八層,十九層,套房(1房1廳1衛),住家用,見其他登記事項,0951229,48.91,1,1,1,有,有,12180000,249029,,0.0,0,含增建或未登記建物。;,RPROMLMKKHPFFDA77CA
信義區,房地(土地+建物),臺北市信義區基隆路一段364巷1~30號,23.56,住,,,1081218,土地3建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0720901,119.27,3,2,2,有,有,24200000,202901,,0.0,0,含增建或未登記建物。;,RPTOMLMKKHPFFDA97CA
信義區,車位,臺北市信義區忠孝東路五段295巷6弄1~30號,2.37,住,,,1090123,土地0建物0車位1,地下二層,六層,其他,停車空間,鋼筋混凝土造,0831217,19.04,0,0,0,有,無,950000,,升降機械,19.04,950000,單獨車位交易。;,RPUOMLMKKHPFFDA08CA
